country;code;city;cc;region;asmp;abp;aop;markup;N_H_E;source;minutes
Netherlands;NLD;Amsterdam;Amsterdam (NLD);Europe & Central Asia;0.88;5.17;3.03;5.9;15;in the supermarket;4
Greece;GRC;Athens;Athens (GRC);Europe & Central Asia;0.9;6.72;3.81;7.5;8;in the supermarket;7
New Zealand;NZL;Auckland;Auckland (NZL);East Asia & Pacific;1.67;5.88;3.78;3.5;19;in the supermarket;5
Thailand;THA;Bangkok;Bangkok (THA);East Asia & Pacific;1.1;3.12;2.11;2.8;5;in the supermarket;13
Spain;ESP;Barcelona;Barcelona (ESP);Europe & Central Asia;0.68;7.02;3.85;10.3;13;in the supermarket;3
China;CHN;Beijing;Beijing (CHN);East Asia & Pacific;1.39;6.35;3.87;4.6;4;in the supermarket;21
Germany;DEU;Berlin;Berlin (DEU);Europe & Central Asia;0.79;4.37;2.58;5.5;18;in the supermarket;3
Colombia;COL;Bogota;Bogota (COL);Latin America & Caribbean;1.26;3.55;2.4;2.8;6;in the supermarket;13
Slovakia;SVK;Bratislava;Bratislava (SVK);Europe & Central Asia;1.15;2.22;1.69;1.9;8;in the supermarket;9
Belgium;BEL;Brussels;Brussels (BEL);Europe & Central Asia;1.19;5.17;3.18;4.3;16;in the supermarket;4
Romania;ROU;Bucharest;Bucharest (ROU);Europe & Central Asia;0.7;4.96;2.83;7.1;4;in the supermarket;10
Hungary;HUN;Budapest;Budapest (HUN);Europe & Central Asia;0.82;3.9;2.36;4.8;4;in the supermarket;12
Argentina;ARG;Buenos Aires;Buenos Aires (ARG);Latin America & Caribbean;0.92;7.8;4.36;8.5;7;in the supermarket;8
Egypt;EGY;Cairo;Cairo (EGY);Middle East & North Africa;0.95;3.27;2.11;3.4;2;in the supermarket;28
USA;USA;Chicago;Chicago (USA);North America;1.37;5.76;3.56;4.2;23;in the supermarket;4
Denmark;DNK;Copenhagen;Copenhagen (DNK);Europe & Central Asia;1.48;6.93;4.21;4.7;16;in the supermarket;6
Ireland;IRL;Dublin;Dublin (IRL);Europe & Central Asia;1.47;6.28;3.88;4.3;17;in the supermarket;5
Germany;DEU;Frankfurt;Frankfurt (DEU);Europe & Central Asia;0.83;5.54;3.19;6.7;18;in the supermarket;3
Switzerland;CHE;Geneva;Geneva (CHE);Europe & Central Asia;1.87;10.77;6.32;5.8;37;in the supermarket;3
Finland;FIN;Helsinki;Helsinki (FIN);Europe & Central Asia;1.64;8.17;4.91;5;17;in the supermarket;6
Hong Kong;HKG;Hong Kong;Hong Kong (HKG);East Asia & Pacific;1.46;10.86;6.16;7.4;14;in the supermarket;6
Turkey;TUR;Istanbul;Istanbul (TUR);Europe & Central Asia;2.15;4.4;3.28;2;7;in the supermarket;18
Ukraine;UKR;Kiev;Kiev (UKR);Europe & Central Asia;0.97;2.36;1.66;2.4;2;in the supermarket;29
Malaysia;MYS;Kuala Lumpur;Kuala Lumpur (MYS);East Asia & Pacific;2.01;6.55;4.28;3.3;6;in the supermarket;20
Peru;PER;Lima;Lima (PER);Latin America & Caribbean;1.26;3.78;2.52;3;5;in the supermarket;15
