country;code;region;asmp;abp;aop;markup;bpc_ge;bpc_gho;bpc_wiki;gni_atlas;be_gni_sm;be_gni_bp;be_gni_op
United Arab Emirates;ARE;Middle East & North Africa;1.17;8.14;4.66;7;8;0.23;NA;42860;36632;5265;9197
Netherlands;NLD;Europe & Central Asia;0.92;4.8;2.87;5.9;86;4.04;78.1;49810;54141;10377;17355
Paraguay;PRY;Latin America & Caribbean;1.04;2.93;1.98;2.8;83;3.13;NA;5620;5404;1918;2838
Greece;GRC;Europe & Central Asia;0.9;6.72;3.81;7.5;53;2;NA;20320;22578;3024;5333
New Zealand;NZL;East Asia & Pacific;1.67;5.88;3.78;3.5;77;3.28;65.5;40560;24287;6898;10730
Indonesia;IDN;East Asia & Pacific;1.35;3;2.18;2.2;9;0.06;0.7;3430;2541;1143;1573
Thailand;THA;East Asia & Pacific;1.1;3.12;2.11;2.8;36;1.86;27;5710;5191;1830;2706
Spain;ESP;Europe & Central Asia;0.68;4.7;2.69;10.3;104;4.17;86;28430;41809;6049;10569
China;CHN;East Asia & Pacific;1.39;6.35;3.87;4.6;35;1.74;29;7940;5712;1250;2052
Serbia;SRB;Europe & Central Asia;0.6;3.34;1.97;5.6;119;2.96;54.7;5960;9933;1784;3025
Germany;DEU;Europe & Central Asia;0.84;5.08;2.96;5.5;118;5.87;101.1;45850;54583;9026;15490
Colombia;COL;Latin America & Caribbean;1.26;3.55;2.4;2.8;76;3.14;NA;7330;5817;2065;3054
USA;USA;North America;1.48;6.8;4.14;4.1;85;4.13;73.5;56740;38338;8344;13705
Slovakia;SVK;Europe & Central Asia;1.15;2.22;1.69;1.9;72;3.42;83.5;17670;15365;7959;10456
Belgium;BEL;Europe & Central Asia;1.19;5.17;3.18;4.3;100;4.6;67;45540;38269;8809;14321
Romania;ROU;Europe & Central Asia;0.7;4.96;2.83;7.1;133;5.22;98.9;9650;13786;1946;3410
Hungary;HUN;Europe & Central Asia;0.82;3.9;2.36;4.8;89;3.92;76.8;13220;16122;3390;5602
