country;code;city;cc;flag_code;region;asmp;abp;markup;aop;bpc_ge;bpc_gho;bpc_wiki;r_ge;r_gho;r_wiki;gni_atlas;be_gni_sm;be_gni_bp;be_gni_op
United Arab Emirates;ARE;Abu Dhabi;Abu Dhabi (ARE);ae;Middle East & North Africa;1.17;8.14;7;4.66;8;0.23;NA;73;71;61;42860;36632.5;5265.4;9197.4
Netherlands;NLD;Amsterdam;Amsterdam (NLD);nl;Europe & Central Asia;0.88;5.17;5.9;3.03;86;4.04;78.1;29;28;18;49810;56602.3;9634.4;16438.9
Paraguay;PRY;Asuncion;Asuncion (PRY);py;Latin America & Caribbean;1.04;2.93;2.8;1.98;83;3.13;NA;36;47;62;5620;5403.8;1918.1;2838.4
Greece;GRC;Athens;Athens (GRC);gr;Europe & Central Asia;0.9;6.72;7.5;3.81;53;2;NA;56;59;63;20320;22577.8;3023.8;5333.3
New Zealand;NZL;Auckland;Auckland (NZL);nz;East Asia & Pacific;1.67;5.88;3.5;3.78;77;3.28;65.5;45;43;35;40560;24287.4;6898;10730.2
Indonesia;IDN;Bali;Bali (IDN);id;East Asia & Pacific;1.35;3;2.2;2.18;9;0.06;0.7;72;74;60;3430;2540.7;1143.3;1573.4
Thailand;THA;Bangkok;Bangkok (THA);th;East Asia & Pacific;1.1;3.12;2.8;2.11;36;1.86;27;60;60;53;5710;5190.9;1830.1;2706.2
Spain;ESP;Barcelona;Barcelona (ESP);es;Europe & Central Asia;0.68;7.02;10.3;3.85;104;4.17;86.0;17;18;13;28430;41808.8;4049.9;7384.4
China;CHN;Beijing;Beijing (CHN);cn;East Asia & Pacific;1.39;6.35;4.6;3.87;35;1.74;29;61;64;52;7940;5712.2;1250.4;2051.7
Serbia;SRB;Belgrade;Belgrade (SRB);rs;Europe & Central Asia;0.6;3.34;5.6;1.97;119;2.96;54.7;6;49;42;5960;9933.3;1784.4;3025.4
Germany;DEU;Berlin;Berlin (DEU);de;Europe & Central Asia;0.79;4.37;5.5;2.58;118;5.87;101.1;9;5;5;45850;58038;10492;17771.3
Colombia;COL;Bogota;Bogota (COL);co;Latin America & Caribbean;1.26;3.55;2.8;2.4;76;3.14;NA;46;46;64;7330;5817.5;2064.8;3054.2
USA;USA;Boston;Boston (USA);us;North America;1.46;5.98;4.1;3.72;85;4.13;73.5;35;25;28;56740;38863;9488.3;15252.7
Slovakia;SVK;Bratislava;Bratislava (SVK);sk;Europe & Central Asia;1.15;2.22;1.9;1.69;72;3.42;83.5;48;37;14;17670;15365.2;7959.5;10455.6
Belgium;BEL;Brussels;Brussels (BEL);be;Europe & Central Asia;1.19;5.17;4.3;3.18;100;4.6;67.0;20;11;34;45540;38268.9;8808.5;14320.8
Romania;ROU;Bucharest;Bucharest (ROU);ro;Europe & Central Asia;0.7;4.96;7.1;2.83;133;5.22;98.9;1;9;6;9650;13785.7;1945.6;3409.9
Hungary;HUN;Budapest;Budapest (HUN);hu;Europe & Central Asia;0.82;3.9;4.8;2.36;89;3.92;76.8;27;31;19;13220;16122;3389.7;5601.7
Argentina;ARG;Buenos Aires;Buenos Aires (ARG);ar;Latin America & Caribbean;0.92;7.8;8.5;4.36;71;3.37;NA;50;42;65;12570;13663;1611.5;2883
Egypt;EGY;Cairo;Cairo (EGY);eg;Middle East & North Africa;0.95;3.27;3.4;2.11;4;0.11;NA;75;73;66;3360;3536.8;1027.5;1592.4
South Africa;ZAF;Cape Town;Cape Town (ZAF);za;Sub-Saharan Africa;1.08;3.2;3;2.14;98;4.01;60.1;22;30;36;6050;5601.9;1890.6;2827.1
USA;USA;Chicago;Chicago (USA);us;North America;1.37;5.76;4.2;3.56;85;4.13;73.5;35;25;28;56740;41416.1;9850.7;15938.2
Denmark;DNK;Copenhagen;Copenhagen (DNK);dk;Europe & Central Asia;1.48;6.93;4.7;4.21;80;3.45;59.6;39;36;38;60510;40885.1;8731.6;14372.9
India;IND;Delhi;Delhi (IND);in;South Asia;1.18;2.31;2;1.75;6;0.21;2;74;72;59;1600;1355.9;692.6;914.3
Ireland;IRL;Dublin;Dublin (IRL);ie;Europe & Central Asia;1.47;6.28;4.3;3.88;106;5.04;95.8;12;10;9;50350;34251.7;8017.5;12976.8
Croatia;HRV;Dubrovnik;Dubrovnik (HRV);hr;Europe & Central Asia;1.11;4.14;3.7;2.62;90;4.56;80.4;26;12;15;12970;11684.7;3132.9;4950.4
UK;GBR;Edinburgh;Edinburgh (GBR);gb;Europe & Central Asia;1.18;5.16;4.4;3.17;79;3.41;72.9;44;41;32;44290;37533.9;8583.3;13971.6
Germany;DEU;Frankfurt;Frankfurt (DEU);de;Europe & Central Asia;0.83;5.54;6.7;3.19;118;5.87;101.1;9;5;5;45850;55241;8276.2;14373
Switzerland;CHE;Geneva;Geneva (CHE);ch;Europe & Central Asia;1.87;10.77;5.8;6.32;63;3.17;55.5;54;45;41;85800;45882.4;7966.6;13575.9
Finland;FIN;Helsinki;Helsinki (FIN);fi;Europe & Central Asia;1.64;8.17;5;4.91;105;4.13;76.7;13;25;20;47150;28750;5771.1;9602.9
Vietnam;VNM;Ho Chi Minh City;Ho Chi Minh City (VNM);vn;East Asia & Pacific;0.99;2.58;2.6;1.78;119;2.66;42;6;51;44;1970;1989.9;763.6;1106.7
Hong Kong;HKG;Hong Kong;Hong Kong (HKG);hk;East Asia & Pacific;1.46;10.86;7.4;6.16;16;NA;21.2;71;75;54;41180;28205.5;3791.9;6685.1
Turkey;TUR;Istanbul;Istanbul (TUR);tr;Europe & Central Asia;2.15;4.4;2;3.28;23;0.82;13;69;69;57;11960;5562.8;2718.2;3646.3
Ukraine;UKR;Kiev;Kiev (UKR);ua;Europe & Central Asia;0.97;2.36;2.4;1.66;103;2.52;NA;18;55;67;2700;2783.5;1144.1;1626.5
Poland;POL;Krakow;Krakow (POL);pl;Europe & Central Asia;0.62;2.7;4.4;1.66;127;5.82;98.2;4;7;8;13350;21532.3;4944.4;8042.2
Malaysia;MYS;Kuala Lumpur;Kuala Lumpur (MYS);my;East Asia & Pacific;2.01;6.55;3.3;4.28;18;0.39;5.8;70;70;58;10680;5313.4;1630.5;2495.3
UK;GBR;Leeds;Leeds (GBR);gb;Europe & Central Asia;1.44;4.64;3.2;3.04;79;3.41;72.9;44;41;32;44290;30756.9;9545.3;14569.1
Peru;PER;Lima;Lima (PER);pe;Latin America & Caribbean;1.26;3.78;3;2.52;71;3.06;NA;50;48;68;6340;5031.7;1677.2;2515.9
Portugal;PRT;Lisbon;Lisbon (PRT);pt;Europe & Central Asia;0.9;4.25;4.7;2.58;74;2.57;51.0;47;54;43;20440;22711.1;4809.4;7922.5
UK;GBR;Liverpool;Liverpool (GBR);gb;Europe & Central Asia;1.16;4.13;3.6;2.64;79;3.41;72.9;44;41;32;44290;38181;10724;16776.5
Slovenia;SVN;Ljubljana;Ljubljana (SVN);si;Europe & Central Asia;1.16;4.25;3.7;2.71;95;5.73;80.2;25;8;16;22250;19181;5235.3;8210.3
UK;GBR;London;London (GBR);gb;Europe & Central Asia;1.69;7.35;4.3;4.52;79;3.41;72.9;44;41;32;44290;26207.1;6025.9;9798.7
USA;USA;Los Angeles;Los Angeles (USA);us;North America;1.87;4.61;2.5;3.24;85;4.13;73.5;35;25;28;56740;30342.2;12308;17512.3
Luxembourg;LUX;Luxembourg;Luxembourg (LUX);lu;Europe & Central Asia;1.02;6.16;6;3.59;79;4.02;NA;44;29;69;72470;71049;11764.6;20186.6
Spain;ESP;Madrid;Madrid (ESP);es;Europe & Central Asia;0.88;4.48;5.1;2.68;104;4.17;86.0;17;18;13;28430;32306.8;6346;10608.2
Spain;ESP;Malaga;Malaga (ESP);es;Europe & Central Asia;0.63;2.8;4.4;1.72;104;4.17;86.0;17;18;13;28430;45127;10153.6;16529.1
Philippines;PHL;Manila;Manila (PHL);ph;East Asia & Pacific;0.61;3.94;6.5;2.28;27;1.11;NA;65;68;70;3380;5541;857.9;1482.5
Mexico;MEX;Mexico City;Mexico City (MEX);mx;Latin America & Caribbean;0.88;3.03;3.4;1.96;101;3.59;68.7;19;35;33;10170;11556.8;3356.4;5188.8
USA;USA;Miami;Miami (USA);us;North America;1.29;8.97;7;5.13;85;4.13;73.5;35;25;28;56740;43984.5;6325.5;11060.4
Italy;ITA;Milan;Milan (ITA);it;Europe & Central Asia;1.1;7.02;6.4;4.06;29;1.79;31;64;63;51;32980;29981.8;4698;8123.2
Russia;RUS;Moscow;Moscow (RUS);ru;Europe & Central Asia;2.49;5.46;2.2;3.98;106;3.65;NA;12;34;71;11780;4730.9;2157.5;2959.8
Germany;DEU;Munich;Munich (DEU);de;Europe & Central Asia;0.91;5.32;5.8;3.11;118;5.87;101.1;9;5;5;45850;50384.6;8618.4;14742.8
USA;USA;New York;New York (USA);us;North America;1.44;8.97;6.2;5.2;85;4.13;73.5;35;25;28;56740;39402.8;6325.5;10911.5
France;FRA;Nice;Nice (FRA);fr;Europe & Central Asia;0.96;5.91;6.2;3.44;43;2.16;33;59;58;48;41100;42812.5;6954.3;11947.7
Norway;NOR;Oslo;Oslo (NOR);no;Europe & Central Asia;3.45;7.17;2.1;5.31;63;2.57;NA;54;54;72;93110;26988.4;12986.1;17534.8
France;FRA;Paris;Paris (FRA);fr;Europe & Central Asia;1.08;7.39;6.8;4.24;43;2.16;33;59;58;48;41100;38055.6;5561.6;9693.4
Czech Republic;CZE;Prague;Prague (CZE);cz;Europe & Central Asia;1.02;4.32;4.2;2.67;130;6.87;191.8;2;1;1;18260;17902;4226.9;6839
Iceland;ISL;Reykjavik;Reykjavik (ISL);is;Europe & Central Asia;1.53;4.95;3.2;3.24;82;4.26;NA;38;13;73;50160;32784.3;10133.3;15481.5
