country;code;cc;region;asmp;abp;markup;aop;bpc_ge;bpc_gho;bpc_wiki;r_ge;r_gho;r_wiki
United Arab Emirates;ARE;Abu Dhabi (ARE);Middle East & North Africa;1.17;8.14;6.957264957264958;4.66;8;0.23;NA;73;71;61
Netherlands;NLD;Amsterdam (NLD);Europe & Central Asia;0.92;4.8;5.875;2.87;86;4.04;78.1;29;28;18
Paraguay;PRY;Asuncion (PRY);Latin America & Caribbean;1.04;2.93;2.8173076923076925;1.98;83;3.13;NA;36;47;62
Greece;GRC;Athens (GRC);Europe & Central Asia;0.9;6.72;7.466666666666666;3.81;53;2;NA;56;59;63
New Zealand;NZL;Auckland (NZL);East Asia & Pacific;1.67;5.88;3.5209580838323356;3.78;77;3.28;65.5;45;43;35
Indonesia;IDN;Bali (IDN);East Asia & Pacific;1.35;3;2.222222222222222;2.18;9;0.06;0.7;72;74;60
Thailand;THA;Bangkok (THA);East Asia & Pacific;1.1;3.12;2.8363636363636364;2.11;36;1.86;27;60;60;53
Spain;ESP;Barcelona (ESP);Europe & Central Asia;0.68;4.7;10.323529411764705;2.69;104;4.17;86.0;17;18;13
China;CHN;Beijing (CHN);East Asia & Pacific;1.39;6.35;4.568345323741007;3.87;35;1.74;29;61;64;52
Serbia;SRB;Belgrade (SRB);Europe & Central Asia;0.6;3.34;5.566666666666666;1.97;119;2.96;54.7;6;49;42
Germany;DEU;Berlin (DEU);Europe & Central Asia;0.84;5.08;5.531645569620253;2.96;118;5.87;101.1;9;5;5
Colombia;COL;Bogota (COL);Latin America & Caribbean;1.26;3.55;2.817460317460317;2.4;76;3.14;NA;46;46;64
USA;USA;Boston (USA);North America;1.48;6.8;4.095890410958905;4.14;85;4.13;73.5;35;25;28
Slovakia;SVK;Bratislava (SVK);Europe & Central Asia;1.15;2.22;1.930434782608696;1.69;72;3.42;83.5;48;37;14
Belgium;BEL;Brussels (BEL);Europe & Central Asia;1.19;5.17;4.344537815126051;3.18;100;4.6;67.0;20;11;34
Romania;ROU;Bucharest (ROU);Europe & Central Asia;0.7;4.96;7.085714285714286;2.83;133;5.22;98.9;1;9;6
Hungary;HUN;Budapest (HUN);Europe & Central Asia;0.82;3.9;4.7560975609756095;2.36;89;3.92;76.8;27;31;19
Argentina;ARG;Buenos Aires (ARG);Latin America & Caribbean;0.92;7.8;8.478260869565217;4.36;71;3.37;NA;50;42;65
Egypt;EGY;Cairo (EGY);Middle East & North Africa;0.95;3.27;3.442105263157895;2.11;4;0.11;NA;75;73;66
South Africa;ZAF;Cape Town (ZAF);Sub-Saharan Africa;1.08;3.2;2.962962962962963;2.14;98;4.01;60.1;22;30;36
Denmark;DNK;Copenhagen (DNK);Europe & Central Asia;1.48;6.93;4.6824324324324325;4.21;80;3.45;59.6;39;36;38
India;IND;Delhi (IND);South Asia;1.18;2.31;1.957627118644068;1.75;6;0.21;2;74;72;59
Ireland;IRL;Dublin (IRL);Europe & Central Asia;1.47;6.28;4.272108843537415;3.88;106;5.04;95.8;12;10;9
Croatia;HRV;Dubrovnik (HRV);Europe & Central Asia;1.11;4.14;3.729729729729729;2.62;90;4.56;80.4;26;12;15
UK;GBR;Edinburgh (GBR);Europe & Central Asia;1.37;5.32;4.372881355932204;3.34;79;3.41;72.9;44;41;32
Switzerland;CHE;Geneva (CHE);Europe & Central Asia;1.77;9.15;5.759358288770053;5.46;63;3.17;55.5;54;45;41
Finland;FIN;Helsinki (FIN);Europe & Central Asia;1.64;8.17;4.981707317073171;4.91;105;4.13;76.7;13;25;20
Vietnam;VNM;Ho Chi Minh City (VNM);East Asia & Pacific;0.99;2.58;2.606060606060606;1.78;119;2.66;42;6;51;44
Hong Kong;HKG;Hong Kong (HKG);East Asia & Pacific;1.46;10.86;7.438356164383562;6.16;16;NA;21.2;71;75;54
Turkey;TUR;Istanbul (TUR);Europe & Central Asia;2.15;4.4;2.046511627906977;3.28;23;0.82;13;69;69;57
Ukraine;UKR;Kiev (UKR);Europe & Central Asia;0.97;2.36;2.4329896907216493;1.66;103;2.52;NA;18;55;67
Poland;POL;Krakow (POL);Europe & Central Asia;0.66;3.15;4.35483870967742;1.9;127;5.82;98.2;4;7;8
Malaysia;MYS;Kuala Lumpur (MYS);East Asia & Pacific;2.01;6.55;3.2587064676616917;4.28;18;0.39;5.8;70;70;58
Peru;PER;Lima (PER);Latin America & Caribbean;1.26;3.78;3;2.52;71;3.06;NA;50;48;68
Portugal;PRT;Lisbon (PRT);Europe & Central Asia;0.9;4.25;4.722222222222222;2.58;74;2.57;51.0;47;54;43
Slovenia;SVN;Ljubljana (SVN);Europe & Central Asia;1.16;4.25;3.6637931034482762;2.71;95;5.73;80.2;25;8;16
Luxembourg;LUX;Luxembourg (LUX);Europe & Central Asia;1.02;6.16;6.03921568627451;3.59;79;4.02;NA;44;29;69
Philippines;PHL;Manila (PHL);East Asia & Pacific;0.61;3.94;6.459016393442623;2.28;27;1.11;NA;65;68;70
Mexico;MEX;Mexico City (MEX);Latin America & Caribbean;0.88;3.03;3.443181818181818;1.96;101;3.59;68.7;19;35;33
Italy;ITA;Milan (ITA);Europe & Central Asia;1.07;7.02;6.381818181818181;4.04;29;1.79;31;64;63;51
Russia;RUS;Moscow (RUS);Europe & Central Asia;2.49;5.46;2.192771084337349;3.98;106;3.65;NA;12;34;71
France;FRA;Nice (FRA);Europe & Central Asia;1;6.28;6.15625;3.64;43;2.16;33;59;58;48
Norway;NOR;Oslo (NOR);Europe & Central Asia;3.45;7.17;2.0782608695652174;5.31;63;2.57;NA;54;54;72
Czech Republic;CZE;Prague (CZE);Europe & Central Asia;1.02;4.32;4.235294117647059;2.67;130;6.87;191.8;2;1;1
Iceland;ISL;Reykjavik (ISL);Europe & Central Asia;1.53;4.95;3.235294117647059;3.24;82;4.26;NA;38;13;73
Brazil;BRA;Rio de Janeiro (BRA);Latin America & Caribbean;1.09;5.15;4.724770642201835;3.12;97;4.08;60.0;23;26;37
Chile;CHL;Santiago (CHL);Latin America & Caribbean;1.03;3.53;3.4271844660194173;2.28;53;2.85;NA;56;50;74
Singapore;SGP;Singapore (SGP);East Asia & Pacific;1.89;8.37;4.428571428571429;5.13;26;1.27;20.9;66;67;55
Bulgaria;BGR;Sofia (BGR);Europe & Central Asia;1.15;3.44;2.991304347826087;2.29;82;4.22;76.4;38;14;21
Sweden;SWE;Stockholm (SWE);Europe & Central Asia;1.34;5.95;4.440298507462686;3.65;63;2.62;NA;54;52;75
Australia;AUS;Sydney (AUS);East Asia & Pacific;2.37;6.56;2.7679324894514763;4.46;99;3.76;76.3;21;32;22
Israel;ISR;Tel Aviv (ISR);Middle East & North Africa;2.06;9.53;4.626213592233009;5.79;23;1.56;17.4;69;65;56
Japan;JPN;Tokyo (JPN);East Asia & Pacific;2.38;7.17;3.0126050420168067;4.77;25;1.35;41.4;67;66;45
Canada;CAN;Toronto (CAN);North America;1.64;4.91;2.9939024390243905;3.27;116;3.7;55.7;10;33;39
Austria;AUT;Vienna (AUT);Europe & Central Asia;1.18;5.73;4.855932203389831;3.45;95;6;107.6;25;2;2
