CITY;AVERAGE SUPERMARKET PRICE $;BAR PRICE $;OVERALL PRICE $;BEER PER CAPITA/YEAR (LITERS);AVERAGE SPENT ON BEER PER PERSON PER YEAR $;year;country;pop;continent;region;code;cc
Abu Dhabi;1.17;8.14;4.66;8;111;2015;United Arab Emirates;619316;Asia;Middle East & North Africa;ARE;Abu Dhabi (ARE)
Amsterdam;0.88;5.17;3.03;86;782;2015;Netherlands;744159;Europe;Europe & Central Asia;NLD;Amsterdam (NLD)
Asuncion;1.04;2.93;1.98;83;495;2015;Paraguay;507574;Americas;Latin America & Caribbean;PRY;Asuncion (PRY)
Athens;0.9;6.72;3.81;53;610;2015;Greece;725049;Europe;Europe & Central Asia;GRC;Athens (GRC)
Auckland;1.67;5.88;3.78;77;869;2015;New Zealand;429918;Oceania;East Asia & Pacific;NZL;Auckland (NZL)
Bali;1.35;3;2.18;9;62;2015;Indonesia;76675;Asia;East Asia & Pacific;IDN;Bali (IDN)
Bangkok;1.1;3.12;2.11;36;225;2015;Thailand;4935988;Asia;East Asia & Pacific;THA;Bangkok (THA)
Barcelona;0.68;7.02;3.85;104;1197;2015;Spain;1591485;Europe;Europe & Central Asia;ESP;Barcelona (ESP)
Beijing;1.39;6.35;3.87;35;403;2015;China;7602069;Asia;East Asia & Pacific;CHN;Beijing (CHN)
Belgrade;0.6;3.34;1.97;119;703;2015;Serbia;1113589;Europe;Europe & Central Asia;SRB;Belgrade (SRB)
Berlin;0.79;4.37;2.58;118;913;2015;Germany;3378275;Europe;Europe & Central Asia;DEU;Berlin (DEU)
Bogota;1.26;3.55;2.4;76;547;2015;Colombia;7235084;Americas;Latin America & Caribbean;COL;Bogota (COL)
Boston;1.46;5.98;3.72;85;950;2015;USA;567759;Americas;North America;USA;Boston (USA)
Bratislava;1.15;2.22;1.69;72;365;2015;Slovakia;422452;Europe;Europe & Central Asia;SVK;Bratislava (SVK)
Brussels;1.19;5.17;3.18;100;952;2015;Belgium;1031925;Europe;Europe & Central Asia;BEL;Brussels (BEL)
Bucharest;0.7;4.96;2.83;133;1132;2015;Romania;1862930;Europe;Europe & Central Asia;ROU;Bucharest (ROU)
Budapest;0.82;3.9;2.36;89;627;2015;Hungary;1700019;Europe;Europe & Central Asia;HUN;Budapest (HUN)
Buenos Aires;0.92;7.8;4.36;71;924;2015;Argentina;11595183;Americas;Latin America & Caribbean;ARG;Buenos Aires (ARG)
Cairo;0.95;3.27;2.11;4;25;2015;Egypt;7836243;Africa;Middle East & North Africa;EGY;Cairo (EGY)
Cape Town;1.08;3.2;2.14;98;626;2015;South Africa;3546429;Africa;Sub-Saharan Africa;ZAF;Cape Town (ZAF)
Chicago;1.37;5.76;3.56;85;911;2015;USA;2830144;Americas;North America;USA;Chicago (USA)
Copenhagen;1.48;6.93;4.21;80;1013;2015;Denmark;1091978;Europe;Europe & Central Asia;DNK;Copenhagen (DNK)
Delhi;1.18;2.31;1.75;6;29;2015;India;11215130;Asia;South Asia;IND;Delhi (IND)
Dublin;1.47;6.28;3.88;106;1230;2015;Ireland;1030431;Europe;Europe & Central Asia;IRL;Dublin (IRL)
Dubrovnik;1.11;4.14;2.62;90;711;2015;Croatia;27920;Europe;Europe & Central Asia;HRV;Dubrovnik (HRV)
Edinburgh;1.18;5.16;3.17;79;756;2015;UK;438501;Europe;Europe & Central Asia;GBR;Edinburgh (GBR)
Frankfurt;0.83;5.54;3.19;118;1128;2015;Germany;642811;Europe;Europe & Central Asia;DEU;Frankfurt (DEU)
Geneva;1.87;10.77;6.32;63;1202;2015;Switzerland;179426;Europe;Europe & Central Asia;CHE;Geneva (CHE)
Helsinki;1.64;8.17;4.91;105;1542;2015;Finland;558341;Europe;Europe & Central Asia;FIN;Helsinki (FIN)
Ho Chi Minh City;0.99;2.58;1.78;119;635;2015;Vietnam;3496586;Asia;East Asia & Pacific;VNM;Ho Chi Minh City (VNM)
Hong Kong;1.46;10.86;6.16;16;296;2015;Hong Kong;NA;Asia;East Asia & Pacific;HKG;Hong Kong (HKG)
Istanbul;2.15;4.4;3.28;23;229;2015;Turkey;10034830;Asia;Europe & Central Asia;TUR;Istanbul (TUR)
Kiev;0.97;2.36;1.66;103;514;2015;Ukraine;2491404;Europe;Europe & Central Asia;UKR;Kiev (UKR)
Krakow;0.62;2.7;1.66;127;634;2015;Poland;NA;Europe;Europe & Central Asia;POL;Krakow (POL)
Kuala Lumpur;2.01;6.55;4.28;18;235;2015;Malaysia;1482359;Asia;East Asia & Pacific;MYS;Kuala Lumpur (MYS)
Leeds;1.44;4.64;3.04;79;726;2015;UK;457875;Europe;Europe & Central Asia;GBR;Leeds (GBR)
Lima;1.26;3.78;2.52;71;532;2015;Peru;7857121;Americas;Latin America & Caribbean;PER;Lima (PER)
Lisbon;0.9;4.25;2.58;74;572;2015;Portugal;508209;Europe;Europe & Central Asia;PRT;Lisbon (PRT)
Liverpool;1.16;4.13;2.64;79;630;2015;UK;468584;Europe;Europe & Central Asia;GBR;Liverpool (GBR)
Ljubljana;1.16;4.25;2.71;95;768;2015;Slovenia;254188;Europe;Europe & Central Asia;SVN;Ljubljana (SVN)
London;1.69;7.35;4.52;79;1078;2015;UK;7489022;Europe;Europe & Central Asia;GBR;London (GBR)
Los Angeles;1.87;4.61;3.24;85;827;2015;USA;3911500;Americas;North America;USA;Los Angeles (USA)
Luxembourg;1.02;6.16;3.59;79;854;2015;Luxembourg;NA;Europe;Europe & Central Asia;LUX;Luxembourg (LUX)
Madrid;0.88;4.48;2.68;104;833;2015;Spain;3146804;Europe;Europe & Central Asia;ESP;Madrid (ESP)
Malaga;0.63;2.8;1.72;104;534;2015;Spain;553916;Europe;Europe & Central Asia;ESP;Malaga (ESP)
Manila;0.61;3.94;2.28;27;184;2015;Philippines;10546511;Asia;East Asia & Pacific;PHL;Manila (PHL)
