Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Middle income,MIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4951.85942229384
Middle income,MIC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4595.46513882584
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,600
Afghanistan,AFG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4390
Albania,ALB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4576.16774724694
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4850
Algeria,DZA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4605.11709563718
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
American Samoa,ASM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..
Andorra,AND,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4520
Angola,AGO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3588.16399485717
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12970
Antigua and Barbuda,ATG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12570
Argentina,ARG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10355.5532729052
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4010
Armenia,ARM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4077.63716959377
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,26250
Aruba,ABW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,60500
Australia,AUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,53974.235108007
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47450
Austria,AUT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,47317.5615627117
