CITY;AVERAGE SUPERMARKET PRICE $;BAR PRICE $;OVERALL PRICE $;BEER PER CAPITA/YEAR (LITERS);AVERAGE SPENT ON BEER PER PERSON PER YEAR $
Abu Dhabi;1.17;8.14;4.66;8;111
Amsterdam;0.88;5.17;3.03;86;782
Asunción;1.04;2.93;1.98;83;495
Athens;0.9;6.72;3.81;53;610
Auckland;1.67;5.88;3.78;77;869
Bali;1.35;3;2.18;9;62
Bangkok;1.1;3.12;2.11;36;225
Barcelona;0.68;7.02;3.85;104;1,197
Beijing;1.39;6.35;3.87;35;403
Belgrade;0.6;3.34;1.97;119;703
Berlin;0.79;4.37;2.58;118;913
Bogotá;1.26;3.55;2.4;76;547
Boston;1.46;5.98;3.72;85;950
Bratislava;1.15;2.22;1.69;72;365
Brussels;1.19;5.17;3.18;100;952
Bucharest;0.7;4.96;2.83;133;1,132
Budapest;0.82;3.9;2.36;89;627
Buenos Aires;0.92;7.8;4.36;71;924
Cairo;0.95;3.27;2.11;4;25
Cape Town;1.08;3.2;2.14;98;626
Chicago;1.37;5.76;3.56;85;911
Copenhagen;1.48;6.93;4.21;80;1,013
Delhi;1.18;2.31;1.75;6;29
Dublin;1.47;6.28;3.88;106;1,230
Dubrovnik;1.11;4.14;2.62;90;711
Edinburgh;1.18;5.16;3.17;79;756
Frankfurt;0.83;5.54;3.19;118;1,128
Geneva;1.87;10.77;6.32;63;1,202
Helsinki;1.64;8.17;4.91;105;1,542
Ho Chi Minh City;0.99;2.58;1.78;119;635
Hong Kong;1.46;10.86;6.16;16;296
Istanbul;2.15;4.4;3.28;23;229
Kiev;0.97;2.36;1.66;103;514
Kraków;0.62;2.7;1.66;127;634
Kuala Lumpur;2.01;6.55;4.28;18;235
Leeds;1.44;4.64;3.04;79;726
Lima;1.26;3.78;2.52;71;532
Lisbon;0.9;4.25;2.58;74;572
Liverpool;1.16;4.13;2.64;79;630
Ljubljana;1.16;4.25;2.71;95;768
London;1.69;7.35;4.52;79;1,078
Los Angeles;1.87;4.61;3.24;85;827
Luxembourg;1.02;6.16;3.59;79;854
Madrid;0.88;4.48;2.68;104;833
Malaga;0.63;2.8;1.72;104;534
Manila;0.61;3.94;2.28;27;184
Mexico City;0.88;3.03;1.96;101;595
Miami;1.29;8.97;5.13;85;1,311
Milan;1.1;7.02;4.06;29;347
Moscow;2.49;5.46;3.98;106;1,267
Munich;0.91;5.32;3.11;118;1,102
New York;1.44;8.97;5.2;85;1,330
Nice;0.96;5.91;3.44;43;443
Oslo;3.45;7.17;5.31;63;999
Paris;1.08;7.39;4.24;43;545
Prague;1.02;4.32;2.67;130;1,040
Reykjavik;1.53;4.95;3.24;82;797
Rio de Janeiro;1.09;5.15;3.12;97;905
Rome;1.02;8.13;4.57;29;392
San Francisco;1.46;6.48;3.97;85;1,014
Santiago;1.03;3.53;2.28;53;365
Seville;0.52;4.48;2.5;104;778
Singapore;1.89;8.37;5.13;26;399
Sofia;1.15;3.44;2.29;82;566
Stockholm;1.34;5.95;3.65;63;689
Strasbourg;0.96;5.54;3.25;43;419
Sydney;2.37;6.56;4.46;99;1,331
Tel Aviv;2.06;9.53;5.79;23;396
The Hague;0.96;4.43;2.7;86;698
Tokyo;2.38;7.17;4.77;25;363
Toronto;1.64;4.91;3.27;116;1,136
Venice;1.1;5.91;3.5;29;300
Vienna;1.18;5.73;3.45;95;988
Warsaw;0.7;3.6;2.15;127;822
Zurich;1.66;7.53;4.6;63;875
